Year,Month,Day,MaxTemp_(degF),MinTemp_(degF),Rain_MeltedSnow_Etc_(in),Snow_IcePellets_Hail_(in),Snow_IcePellets_Hail_IceOnGround_(in)
2014,4,1,60,39,0.0,0,0
2014,4,2,54,42,0.0,0,0
2014,4,3,67,46,0.07,0,0
2014,4,4,47,40,0.21,0,0
2014,4,5,54,40,0.0,0,0
2014,4,6,61,36,0.0,0,0
2014,4,7,53,43,0.52,0,0
2014,4,8,64,46,0.34,0,0
2014,4,9,61,45,0.0,0,0
2014,4,10,58,42,0.0,0,0
2014,4,11,75,56,0.0,0,0
2014,4,12,73,50,0.0,0,0
2014,4,13,77,54,0.0,0,0
2014,4,14,75,59,0.0,0,0
2014,4,15,63,33,0.71,0,0
2014,4,16,49,31,0.05,0,0
2014,4,17,48,36,0.0,0,0
2014,4,18,49,35,0.0,0,0
2014,4,19,68,41,0.0,0,0
2014,4,20,60,45,0.0,0,0
2014,4,21,67,41,0.0,0,0
2014,4,22,71,51,0.01,0,0
2014,4,23,61,44,0.0,0,0
2014,4,24,62,42,0.0,0,0
2014,4,25,63,44,0.02,0,0
2014,4,26,67,46,0.92,0,0
2014,4,27,59,47,0.0,0,0
2014,4,28,67,45,0.0,0,0
2014,4,29,52,43,0.03,0,0
2014,4,30,52,41,4.97,0,0
2014,5,1,78,51,0.12,0,0
2014,5,2,70,56,0.0,0,0
2014,5,3,71,54,0.08,0,0
2014,5,4,65,54,0.02,0,0
2014,5,5,70,50,0.0,0,0
2014,5,6,71,52,0.0,0,0
2014,5,7,69,50,0.0,0,0
2014,5,8,59,53,0.41,0,0
2014,5,9,63,55,0.04,0,0
2014,5,10,83,57,0.37,0,0
2014,5,11,82,60,0.03,0,0
2014,5,12,85,64,0.0,0,0
2014,5,13,73,53,0.0,0,0
2014,5,14,71,52,0.01,0,0
2014,5,15,71,58,0.15,0,0
2014,5,16,68,58,1.54,0,0
2014,5,17,70,53,0.0,0,0
2014,5,18,67,51,0.0,0,0
2014,5,19,72,49,0.0,0,0
2014,5,20,78,53,0.0,0,0
2014,5,21,74,63,0.0,0,0
2014,5,22,67,59,0.24,0,0
2014,5,23,71,56,0.91,0,0
2014,5,24,70,57,0.4,0,0
2014,5,25,80,55,0.0,0,0
2014,5,26,86,66,0.0,0,0
