Date,DateTime,Lat,Lon,Base
2014-07-22,2014-07-22 20:42:00,40.7671,-73.9845,B02682
2014-09-10,2014-09-10 16:37:00,40.756,-73.9713,B02598
2014-07-07,2014-07-07 20:33:00,40.7198,-74.0004,B02682
2014-09-28,2014-09-28 16:14:00,40.7076,-73.9402,B02617
2014-05-03,2014-05-03 15:59:00,40.7686,-73.9499,B02598
2014-09-07,2014-09-07 05:22:00,40.7439,-73.9922,B02617
2014-09-25,2014-09-25 16:31:00,40.7576,-73.9882,B02764
2014-07-17,2014-07-17 10:42:00,40.7388,-73.9874,B02598
2014-05-28,2014-05-28 20:04:00,40.7571,-73.9974,B02682
2014-05-15,2014-05-15 13:06:00,40.7613,-73.9709,B02598
2014-06-29,2014-06-29 00:17:00,40.7643,-73.9869,B02682
2014-08-27,2014-08-27 07:12:00,40.7078,-74.0043,B02617
2014-08-09,2014-08-09 09:12:00,40.7147,-73.9504,B02598
2014-07-03,2014-07-03 18:06:00,40.7455,-73.9905,B02682
2014-05-08,2014-05-08 11:28:00,40.7531,-73.9891,B02617
2014-05-15,2014-05-15 15:46:00,40.7639,-73.9739,B02682
2014-08-02,2014-08-02 18:56:00,40.7543,-73.972,B02512
2014-05-27,2014-05-27 23:08:00,40.7962,-73.9748,B02682
2014-05-23,2014-05-23 02:41:00,40.727,-73.9839,B02598
2014-06-26,2014-06-26 00:19:00,40.7481,-74.0071,B02682
2014-04-11,2014-04-11 07:10:00,40.7794,-73.9597,B02598
2014-09-12,2014-09-12 11:02:00,40.7181,-74.0001,B02682
2014-09-12,2014-09-12 07:14:00,40.6932,-73.9995,B02682
2014-09-08,2014-09-08 14:16:00,40.7718,-73.9826,B02682
2014-07-12,2014-07-12 12:13:00,40.677,-73.9986,B02598
2014-07-17,2014-07-17 11:19:00,40.7352,-73.983,B02598
2014-06-05,2014-06-05 06:30:00,40.7356,-73.9927,B02682
2014-06-13,2014-06-13 22:41:00,40.7565,-73.9644,B02617
2014-06-24,2014-06-24 13:21:00,40.7472,-73.9723,B02617
2014-05-15,2014-05-15 14:07:00,40.7304,-73.9948,B02598
2014-06-30,2014-06-30 23:12:00,40.7318,-74.001,B02617
2014-08-13,2014-08-13 21:04:00,40.714,-74.0094,B02617
2014-09-07,2014-09-07 18:37:00,40.7425,-74.0079,B02682
2014-08-22,2014-08-22 21:39:00,40.7135,-73.9787,B02617
