"Y
e
a
r","M
o
n
t
h","D
a
y",MaxTemp_(degF),MinTemp_(degF),"Rain_MeltedSnow_Etc_
(in)",Snow_IcePellets_Hail_(in),Snow_IcePellets_Hail_IceOnGround_(in)
2014,5,1,78.0,51.0,0.12,0.00,0.00
2014,5,2,70.0,56.0,0.00,0.00,0.00
2014,5,3,71.0,54.0,0.08,0.00,0.00
2014,5,4,65.0,54.0,0.02,0.00,0.00
2014,5,5,70.0,50.0,0.00,0.00,0.00
2014,5,6,71.0,52.0,0.00,0.00,0.00
2014,5,7,69.0,50.0,0.00,0.00,0.00
2014,5,8,59.0,53.0,0.41,0.00,0.00
2014,5,9,63.0,55.0,0.04,0.00,0.00
2014,5,10,83.0,57.0,0.37,0.00,0.00
2014,5,11,82.0,60.0,0.03,0.00,0.00
2014,5,12,85.0,64.0,0.00,0.00,0.00
2014,5,13,73.0,53.0,0.00,0.00,0.00
2014,5,14,71.0,52.0,0.01,0.00,0.00
2014,5,15,71.0,58.0,0.15,0.00,0.00
2014,5,16,68.0,58.0,1.54,0.00,0.00
2014,5,17,70.0,53.0,0.00,0.00,0.00
2014,5,18,67.0,51.0,0.00,0.00,0.00
2014,5,19,72.0,49.0,0.00,0.00,0.00
2014,5,20,78.0,53.0,0.00,0.00,0.00
2014,5,21,74.0,63.0,0.00,0.00,0.00
2014,5,22,67.0,59.0,0.24,0.00,0.00
2014,5,23,71.0,56.0,0.91,0.00,0.00
2014,5,24,70.0,57.0,0.40,0.00,0.00
2014,5,25,80.0,55.0,0.00,0.00,0.00
2014,5,26,86.0,66.0,0.00,0.00,0.00
2014,5,27,86.0,64.0,0.00,0.00,0.00
2014,5,28,64.0,54.0,0.00,0.00,0.00
2014,5,29,66.0,51.0,0.00,0.00,0.00
2014,5,30,75.0,55.0,0.00,0.00,0.00
2014,5,31,73.0,57.0,0.05,0.00,0.00
