"Y
e
a
r","M
o
n
t
h","D
a
y",MaxTemp_(degF),MinTemp_(degF),"Rain_MeltedSnow_Etc_
(in)",Snow_IcePellets_Hail_(in),Snow_IcePellets_Hail_IceOnGround_(in)
2014,6,1,77.0,55.0,0.00,0.00,0.00
2014,6,2,80.0,59.0,0.00,0.00,0.00
2014,6,3,87.0,65.0,0.12,0.00,0.00
2014,6,4,82.0,63.0,0.00,0.00,0.00
2014,6,5,76.0,61.0,0.87,0.00,0.00
2014,6,6,76.0,61.0,0.00,0.00,0.00
2014,6,7,82.0,60.0,0.00,0.00,0.00
2014,6,8,86.0,66.0,0.00,0.00,0.00
2014,6,9,73.0,63.0,1.60,0.00,0.00
2014,6,10,77.0,65.0,0.00,0.00,0.00
2014,6,11,70.0,61.0,0.02,0.00,0.00
2014,6,12,73.0,60.0,0.07,0.00,0.00
2014,6,13,79.0,65.0,1.28,0.00,0.00
2014,6,14,74.0,60.0,0.00,0.00,0.00
2014,6,15,80.0,59.0,0.00,0.00,0.00
2014,6,16,81.0,63.0,0.00,0.00,0.00
2014,6,17,89.0,71.0,0.00,0.00,0.00
2014,6,18,89.0,76.0,0.00,0.00,0.00
2014,6,19,77.0,68.0,0.15,0.00,0.00
2014,6,20,79.0,64.0,0.00,0.00,0.00
2014,6,21,78.0,62.0,0.00,0.00,0.00
2014,6,22,79.0,64.0,0.00,0.00,0.00
2014,6,23,81.0,65.0,0.00,0.00,0.00
2014,6,24,81.0,68.0,0.00,0.00,0.00
2014,6,25,85.0,70.0,0.08,0.00,0.00
2014,6,26,85.0,70.0,0.07,0.00,0.00
2014,6,27,83.0,67.0,0.00,0.00,0.00
2014,6,28,87.0,66.0,0.00,0.00,0.00
2014,6,29,83.0,68.0,0.00,0.00,0.00
2014,6,30,84.0,69.0,0.00,0.00,0.00
